# Program:featureCounts v2.0.4; Command:"featureCounts" "-s" "2" "-T" "2" "-p" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "allSamples.featureCounts.txt" "SRR24466374.bam" "SRR24466375.bam" "SRR24466376.bam" "SRR24466389.bam" "SRR24466391.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR24466374.bam	SRR24466375.bam	SRR24466376.bam	SRR24466389.bam	SRR24466391.bam
tE(UUC)P	XVI	210192	210263	-	72	7	0	6	4	3
YPL094C	XVI	369839	370663	-	825	3063	3370	3332	6676	3816
YPR176C	XVI	891101	892078	-	978	3773	3442	4131	5811	3835
YPL191C	XVI	183597	184679	-	1083	648	654	580	1342	788
YPR204C-A	XVI	946856	947338	-	483	0	0	0	1	0
YPR163C	XVI	868645	869955	-	1311	5851	5757	7089	17455	10299
YPL229W	XVI	117067	117687	+	621	320	457	366	1348	644
YPR160W	XVI	861306	864014	+	2709	1471	2860	472	17744	5260
YPL049C	XVI	462481	463839	-	1359	1543	2661	1942	6682	3143
YPL066W	XVI	426233	427672	+	1440	1359	2041	1533	3979	1969
YPL183W-A	XVI	199095	199376	+	282	668	820	586	1924	982
YPL235W	XVI	103232	104647	+	1416	2227	2057	1781	5835	2771
YPL141C	XVI	283464	286061	-	2598	1188	1265	916	2833	1717
tF(GAA)P1	XVI;XVI	560198;560253	560233;560289	-;-	73	695	353	509	213	431
YPR144C	XVI	819765	821423	-	1659	481	560	649	1273	954
YPL249C-A	XVI;XVI	75699;76224	75985;76239	-;-	303	23210	30085	32059	87814	48503
YPR128C	XVI	791218	792204	-	987	1641	1767	1775	2945	1601
YPR054W	XVI	666280	667446	+	1167	16	20	14	56	18
YPL156C	XVI	255913	256767	-	855	910	1518	1019	1830	895
YPL173W	XVI	223143	224036	+	894	549	694	489	2428	1231
YPR098C	XVI;XVI	728947;729482	729385;729528	-;-	486	4975	4894	4249	10060	4985
YPL260W	XVI	49303	50958	+	1656	2994	3066	2470	10058	4164
YPL251W	XVI	73625	73927	+	303	4	2	4	4	2
YPL016W	XVI	521014	524958	+	3945	1816	2205	1726	3698	2056
YPR095C	XVI	721037	724717	-	3681	1492	2061	1613	3102	1914
YPR079W	XVI	698869	700014	+	1146	1617	2152	1293	3919	1847
YPR010C	XVI	577585	581196	-	3612	2266	2325	2857	5117	3664
YPL046C	XVI	466644	466943	-	300	424	502	342	1017	604
YPL021W	XVI	511101	511664	+	564	2	0	0	4	0
YPL268W	XVI	35236	37845	+	2610	883	1587	987	2324	1281
YPL283C	XVI;XVI	280;5989	5840;6007	-;-	5580	4	3	6	25	4
YPL206C	XVI	162632	163597	-	966	1769	2366	1753	8057	3769
YPR055W	XVI	667676	670873	+	3198	1310	1656	1238	3863	1767
YPR138C	XVI	810984	812453	-	1470	1597	1792	1665	3811	2342
YPL243W	XVI	88517	90316	+	1800	2464	2794	2238	7124	3808
YPR127W	XVI	790083	791120	+	1038	1081	1316	1157	3045	1408
YPL095C	XVI	368071	369441	-	1371	3872	9718	1836	25560	11224
YPR027C	XVI	620425	621258	-	834	16	9	20	32	8
YPL232W	XVI	107275	108147	+	873	1553	1779	1278	6950	2781
YPL124W	XVI	316755	317516	+	762	334	484	348	1311	613
YPR041W	XVI	648704	649921	+	1218	3054	2897	3189	10027	5630
YPL083C	XVI	396702	398105	-	1404	625	777	622	1580	1000
YPL048W	XVI	464401	465648	+	1248	4769	6118	5038	22437	9568
YPL120W	XVI	322071	323744	+	1674	916	1053	749	2706	1547
YPL117C	XVI	327864	328730	-	867	11366	7390	10258	18710	10265
YPR126C	XVI	789077	789385	-	309	3	1	1	1	4
YPR091C	XVI	716156	718468	-	2313	4632	6328	4044	6305	4413
YPR059C	XVI	674314	674700	-	387	13	14	13	19	9
YPL214C	XVI	148569	150191	-	1623	1030	1346	1226	2637	1368
YPL203W	XVI	166256	167398	+	1143	1448	1970	1255	6777	3536
YPL273W	XVI	25087	26064	+	978	11254	9445	14563	22124	13135
YPR081C	XVI	702114	703970	-	1857	675	1206	628	2887	1328
YPL011C	XVI	533642	534703	-	1062	871	1155	904	2391	1310
YPR097W	XVI	725394	728615	+	3222	1217	1690	1266	3017	1754
YPL274W	XVI	22938	24701	+	1764	2453	2601	2071	5096	2491
YPR158W	XVI	843262	844020	+	759	7763	4636	2989	32438	8388
YPL050C	XVI	460779	461966	-	1188	5253	5280	4300	7299	4706
YPR114W	XVI	753301	754248	+	948	2544	3437	2673	6938	3569
YPL110C	XVI	341068	344739	-	3672	475	733	536	1335	746
YPL161C	XVI	244319	246220	-	1902	748	972	714	2193	1151
YPR022C	XVI	603911	607312	-	3402	956	1364	1094	3005	1696
tT(UGU)P	XVI	744284	744355	+	72	0	0	0	0	0
YPR175W	XVI	888974	891043	+	2070	626	516	522	1784	802
YPL068C	XVI	424215	425096	-	882	138	149	121	447	208
YPL055C	XVI	453992	454990	-	999	640	832	733	2675	1503
YPL079W	XVI;XVI	406636;407068	406646;407539	+;+	483	16266	15889	21138	39955	24919
YPL150W	XVI	268188	270893	+	2706	2268	2571	2194	4501	2491
YPR192W	XVI	921860	922777	+	918	50	46	19	181	201
YPL226W	XVI	121767	125357	+	3591	2240	3060	2645	6544	3729
YPL115C	XVI	332100	335486	-	3387	1457	2595	1715	4252	2396
YPL283W-A	XVI	1426	2001	+	576	0	0	0	0	0
YPL170W	XVI	228314	228772	+	459	3284	2765	2275	6905	2670
YPL245W	XVI	85586	86950	+	1365	995	643	839	2431	1219
YPR140W	XVI	814391	815536	+	1146	1000	993	702	2866	1438
YPR048W	XVI	659182	661053	+	1872	834	767	997	1473	826
YPR102C	XVI	731224	731748	-	525	19339	16754	25251	66792	31582
YPL036W	XVI	482843	485686	+	2844	294	370	312	819	476
YPR015C	XVI	590283	591026	-	744	1121	1404	886	1449	693
YPR133W-A	XVI	797557	797709	+	153	2422	3588	2802	6864	3751
YPL146C	XVI	276162	277529	-	1368	3115	1774	2981	4975	2686
YPR107C	XVI	741438	742064	-	627	2154	1854	1725	5661	2497
YPL035C	XVI	486564	486911	-	348	0	4	0	4	0
YPL082C	XVI	398480	404083	-	5604	1205	2066	1385	3003	1397
YPR064W	XVI	678951	679370	+	420	10	12	16	39	6
YPL216W	XVI	143821	147129	+	3309	651	604	552	966	501
YPL152W	XVI	265028	266104	+	1077	1951	1863	1969	5474	2794
YPL230W	XVI	115312	116487	+	1176	1171	1148	398	3397	3608
YPL159C	XVI	250907	251668	-	762	1041	1315	983	3731	1734
YPR183W	XVI	900755	901558	+	804	1076	1322	1153	5469	2853
YPL204W	XVI	164276	165760	+	1485	2758	5034	3596	9536	5188
YPL109C	XVI;XVI	345264;345597	345444;347389	-;-	1974	982	1715	1074	2407	1788
YPL249C	XVI	76669	79353	-	2685	493	740	503	2443	994
YPR154W	XVI	834565	835212	+	648	1958	3958	1597	15065	2458
YPR026W	XVI	615379	619014	+	3636	1456	2020	1030	3671	1832
YPR076W	XVI	696476	696850	+	375	1	4	4	12	0
YPR170W-B	XVI;XVI	883239;883487	883387;883595	+;+	258	970	1116	901	2219	1092
YPR016C	XVI	592332	593069	-	738	1852	2541	2398	6007	3836
YPL060W	XVI	434523	435764	+	1242	1148	951	810	2416	1065
YPR029C	XVI	624469	626967	-	2499	1908	2486	1865	5887	3105
YPR002C-A	XVI	560569	560766	-	198	181	163	132	91	90
YPL106C	XVI	350194	352275	-	2082	33037	44971	30815	167572	34165
YPR085C	XVI	708497	709828	-	1332	463	688	645	1128	684
YPL008W	XVI	539385	541970	+	2586	1102	1246	1088	2220	1024
YPR152C	XVI	832061	833458	-	1398	461	620	412	1880	784
YPL212C	XVI	151515	153149	-	1635	1343	1670	1993	3116	2188
YPL119C	XVI	324411	326264	-	1854	90	198	74	694	350
YPL078C	XVI	408010	408744	-	735	6121	5904	5274	17341	8837
YPL195W	XVI	176223	179021	+	2799	2728	2901	2438	6729	3718
YPL025C	XVI	502473	503030	-	558	49	55	60	107	38
YPR060C	XVI	674861	675631	-	771	1206	1197	1029	2841	1454
YPL199C	XVI	172033	172755	-	723	1680	2715	2084	5969	3163
YPL228W	XVI	118382	120031	+	1650	985	1407	1009	4133	2021
YPL018W	XVI	517651	518760	+	1110	199	221	198	585	318
YPL259C	XVI	51244	52671	-	1428	1519	2253	1688	4969	2791
YPR150W	XVI	830999	831520	+	522	255	184	199	469	223
YPL072W	XVI	418512	420011	+	1500	682	775	539	1583	841
YPL130W	XVI	304387	305058	+	672	15	22	18	33	6
YPR179C	XVI	893797	895764	-	1968	1775	2185	1629	4719	2653
YPR096C	XVI	724842	725144	-	303	40	45	48	62	53
YPL028W	XVI	498096	499292	+	1197	4017	4579	3561	13076	6096
YPL174C	XVI	220167	222773	-	2607	731	1383	991	2145	1234
YPR031W	XVI	631515	633761	+	2247	552	659	655	1355	851
YPL257W-A	XVI	56748	58070	+	1323	0	0	0	0	0
YPR158W-A	XVI	844709	846031	+	1323	0	0	0	0	0
YPL257W-B	XVI	56748	62016	+	5269	4	7	13	47	11
YPR158C-D	XVI	850989	856257	-	5269	395	646	806	1972	757
YPR137C-A	XVI	808947	810269	-	1323	0	0	0	0	0
YPR137C-B	XVI	805001	810269	-	5269	39	76	68	85	44
YPR158W-B	XVI	844709	849980	+	5272	35	60	71	93	60
YPL060C-A	XVI	437333	442742	-	5410	32	52	58	69	40
YPR158C-C	XVI	854935	856257	-	1323	0	0	0	0	0
YMR172W	XIII	605981	608140	+	2160	744	1038	805	1871	960
YMR027W	XIII	325877	327289	+	1413	2598	3847	2369	9620	4609
YML089C	XIII	91041	91409	-	369	6	9	12	32	12
YMR290C	XIII	850074	851591	-	1518	619	712	897	1866	1558
YMR139W	XIII	546125	547237	+	1113	1707	1834	1228	5089	2157
YMR191W	XIII	645656	646777	+	1122	804	896	648	3119	1493
YMR244C-A	XIII	758517	758831	-	315	1154	1172	921	2809	1349
YMR091C	XIII	450058	451365	-	1308	2064	2169	1760	5706	2877
YMR173W-A	XIII	608897	610081	+	1185	228	250	163	633	335
YMR180C	XIII	622251	623213	-	963	1037	1010	707	2335	1346
YML020W	XIII	231149	233143	+	1995	830	1020	905	2313	1207
YML088W	XIII	92235	94241	+	2007	576	1023	659	2209	991
YML077W	XIII	111865	112344	+	480	1346	1660	1533	3621	1651
YML125C	XIII	20761	21699	-	939	2882	4264	3903	5943	2912
YMR318C	XIII	911061	912143	-	1083	2348	2843	2738	7681	3939
YMR115W	XIII	497704	499209	+	1506	1991	2004	1589	5034	2189
YMR266W	XIII	798518	801379	+	2862	7298	8778	7797	12953	6777
YML057W	XIII	160180	161994	+	1815	2346	2982	2031	7142	3671
YML055W	XIII	164790	165326	+	537	3027	3376	2831	5096	3133
YMR105C	XIII	475897	477606	-	1710	8327	7447	2171	49362	18726
YMR268C	XIII	802888	804222	-	1335	382	421	426	739	588
YML133W-B	XIII	827	1309	+	483	0	0	0	0	0
YML090W	XIII	90744	91130	+	387	0	2	0	0	0
YML101C	XIII	69735	70088	-	354	944	1122	1028	3752	1409
YMR012W	XIII	291134	294967	+	3834	3708	4570	3307	9823	4476
tY(GUA)M2	XIII;XIII	837928;837981	837966;838016	+;+	75	0	2	1	0	0
YMR202W	XIII	667537	668205	+	669	6110	6230	6513	13408	6243
YMR083W	XIII	434788	435915	+	1128	6742	9519	6513	37759	17957
snR76	XIII	297725	297833	+	109	88	103	122	126	92
YMR017W	XIII	307489	308682	+	1194	58	49	32	103	38
YML085C	XIII;XIII	97941;99376	99259;99400	-;-	1344	5148	6355	5747	22081	10746
YML013W	XIII	244149	245903	+	1755	1128	1995	1182	3420	1656
YMR224C	XIII	718575	720653	-	2079	338	491	441	1048	515
YMR059W	XIII	391099	391485	+	387	1058	786	1283	2092	1414
YMR072W	XIII	411569	412120	+	552	5243	6526	4618	20321	11294
YMR304W	XIII	874987	878679	+	3693	1486	2617	1381	5575	2608
YML087C	XIII	94431	95369	-	939	280	504	334	773	485
YMR195W	XIII	654034	654417	+	384	5784	2917	3833	11649	9547
YMR240C	XIII	749930	751240	-	1311	790	1035	877	2216	1016
YMR308C	XIII	888952	892221	-	3270	3087	3252	2922	6895	3804
YML001W	XIII	267174	267800	+	627	24915	14012	20976	28692	15116
YML114C	XIII	42043	43575	-	1533	744	1023	836	2750	1410
YMR319C	XIII	912880	914538	-	1659	1760	4749	2210	4130	4010
YML075C	XIII	115734	118898	-	3165	2330	2746	2018	3974	1858
YMR075W	XIII	413982	416036	+	2055	1756	1956	1404	3539	1835
YML129C	XIII	14541	14753	-	213	1165	1539	1051	4757	2449
YML073C	XIII;XIII	123227;124158	123742;124172	-;-	531	17362	17534	19103	46253	28317
YMR149W	XIII	560996	561856	+	861	5776	7571	5398	10320	5589
YMR233W	XIII	739185	739865	+	681	931	737	919	2050	1242
YMR048W	XIII	366981	367934	+	954	344	402	373	1416	677
YML030W	XIII	216435	216914	+	480	1288	1194	999	2999	1802
YMR118C	XIII	502144	502734	-	591	11	15	11	17	14
YMR260C	XIII	789378	789839	-	462	12113	9517	11707	25297	13820
YMR135W-A	XIII	539911	540444	+	534	2	2	0	0	0
tM(CAU)M	XIII	572883	572955	-	73	17	17	14	5	11
YML056C	XIII;XIII	162194;163717	163308;164176	-;-	1575	2385	2780	3895	5554	4197
YML064C	XIII	145139	145876	-	738	700	826	673	2389	1187
YML132W	XIII	7244	8383	+	1140	288	362	213	531	318
YML113W	XIII	44045	44791	+	747	191	280	289	472	402
YML058W-A	XIII	158760	158966	+	207	98	100	101	187	116
YMR136W	XIII	541199	542881	+	1683	2283	1374	1439	4923	3763
YML091C	XIII	87123	90731	-	3609	1639	2026	1441	6584	3536
YMR199W	XIII	662644	664284	+	1641	2076	3975	3203	4425	3402
YMR286W	XIII	841942	842202	+	261	1263	1826	1439	3283	1946
YMR025W	XIII	323300	324187	+	888	228	282	277	624	433
YMR112C	XIII	494100	494495	-	396	2527	1322	1865	4935	1550
YML127W	XIII	17064	18809	+	1746	1434	1817	1541	4827	2456
YML005W	XIII	260221	261609	+	1389	428	639	572	1175	736
YMR160W	XIII	575066	577516	+	2451	693	1117	782	2804	1462
YMR046W-A	XIII	362702	362830	+	129	159	139	190	205	137
YMR096W	XIII	458408	459301	+	894	7417	9025	8784	34271	17954
YML133C	XIII;XIII	461;3891	3791;4684	-;-	4125	42	76	76	137	117
YMR246W	XIII	759807	761891	+	2085	1530	1832	1878	6270	2559
YMR052C-A	XIII	380069	380434	-	366	10	8	5	12	16
YMR120C	XIII	507502	509280	-	1779	9639	7390	6360	53635	19135
YMR052W	XIII	379586	380200	+	615	447	763	515	1503	663
YML100W-A	XIII	70138	70311	+	174	110	75	55	209	62
YML049C	XIII	174220	178305	-	4086	962	1349	924	2474	1184
YMR065W	XIII	399702	401216	+	1515	1166	1093	1251	2307	1319
YMR098C	XIII	460771	462609	-	1839	732	891	757	2498	1322
YMR302C	XIII	870073	872625	-	2553	2046	2418	1600	6009	2663
YMR075C-A	XIII	415688	416053	-	366	35	27	24	58	33
YML060W	XIII	151871	153001	+	1131	310	218	275	440	313
YMR080C	XIII	426712	429627	-	2916	1234	1694	1530	4300	2148
YMR156C	XIII	570300	571016	-	717	217	311	235	658	386
YMR294W	XIII	856966	858087	+	1122	782	725	654	1497	678
YMR167W	XIII	594886	597195	+	2310	413	695	508	1338	719
YMR242W-A	XIII	754297	754386	+	90	0	0	0	11	0
YMR079W	XIII;XIII	424989;425154	424997;426059	+;+	915	1978	2424	2147	4993	3006
YMR275C	XIII	815651	818581	-	2931	846	1458	959	2478	1426
YMR100W	XIII	466300	468162	+	1863	1560	2548	1740	4399	2536
YMR030W-A	XIII	337313	337603	+	291	27	15	14	42	11
YMR161W	XIII	577718	578392	+	675	2101	1170	1731	4829	1804
YMR183C	XIII	626921	627808	-	888	2053	2785	2085	6823	4075
YML021C	XIII	229734	230813	-	1080	655	806	611	1854	957
YML074C	XIII	120089	121324	-	1236	2506	3168	3268	10458	6096
YMR157C	XIII	571277	572044	-	768	511	586	504	1480	901
YMR110C	XIII	490394	491992	-	1599	2644	2876	1703	11982	5037
YMR097C	XIII	459424	460527	-	1104	850	1133	727	2605	1545
YMR111C	XIII	492404	493792	-	1389	418	515	368	1164	589
YML011C	XIII	246895	247428	-	534	407	544	516	1125	584
YMR064W	XIII	397903	399459	+	1557	1485	2013	1706	3018	1808
YML082W	XIII	101862	103811	+	1950	264	486	364	948	540
YMR300C	XIII	865559	867091	-	1533	4528	3227	3314	12279	5631
YMR262W	XIII	793726	794667	+	942	1265	1297	791	4526	2067
YMR031C	XIII	332212	334743	-	2532	6021	5525	3326	18303	7986
YMR016C	XIII	303236	305593	-	2358	866	1127	870	2423	923
YMR066W	XIII	401541	404237	+	2697	894	1413	1155	1900	1357
YMR007W	XIII	279960	280340	+	381	78	38	64	61	29
YMR201C	XIII;XIII	665845;667018	666933;667044	-;-	1116	766	1356	974	2230	1198
YMR232W	XIII	736926	738959	+	2034	179	114	99	545	167
YMR200W	XIII	664752	665522	+	771	4205	5169	4181	8723	5352
YMR297W	XIII	861922	863520	+	1599	17938	23722	12872	53016	18855
YML026C	XIII;XIII	222987;223782	223380;223828	-;-	441	166415	75977	191566	203947	101786
YML023C	XIII	226994	228664	-	1671	764	1028	1013	1452	853
YMR143W	XIII;XIII	551928;552496	551951;552903	+;+	432	125523	60753	126289	153338	77984
YMR073C	XIII	412268	412873	-	606	1332	1202	1246	2646	1597
YML069W	XIII	135500	137158	+	1659	3745	3379	2843	10271	4316
YML050W	XIII	173139	174074	+	936	416	466	374	991	573
YML099W-A	XIII	74229	74558	+	330	41	5	4	42	25
YMR211W	XIII	689083	690510	+	1428	434	485	502	1455	600
tF(GAA)M	XIII;XIII	352280;352335	352316;352370	+;+	73	1	2	0	4	2
YMR283C	XIII	835326	836867	-	1542	759	814	844	1888	1076
snR74	XIII	298138	298225	+	88	3	4	7	16	17
RNA170	XIII	667288	667456	-	169	44	52	50	65	55
YML078W	XIII	111002	111550	+	549	1702	2351	1891	7807	3493
YMR142C	XIII;XIII	550206;551204	550801;551207	-;-	600	25209	30650	32541	77636	47996
YMR203W	XIII	668492	669655	+	1164	2078	2904	2293	9569	5103
YMR077C	XIII	421484	422149	-	666	1449	1246	1115	3437	1411
YMR245W	XIII	758563	759183	+	621	20	21	13	59	56
YMR284W	XIII	838187	839995	+	1809	7124	3683	4965	8050	4074
YMR089C	XIII	445609	448086	-	2478	1818	2262	1739	6136	2783
YMR134W	XIII	537838	538551	+	714	1160	1148	950	2481	1253
YMR290W-A	XIII	851422	851769	+	348	0	3	2	16	0
YMR095C	XIII	457285	457959	-	675	1293	1103	1419	3488	1732
snR83	XIII	626349	626654	+	306	1666	1500	2152	3071	2127
snR73	XIII	298307	298412	+	106	2	1	3	1	2
tH(GUG)M	XIII	363064	363135	+	72	68	54	81	100	58
YMR099C	XIII	463934	464827	-	894	2505	3448	2375	9200	3762
YMR132C	XIII	534944	535570	-	627	932	658	849	1482	713
YML115C	XIII	40187	41794	-	1608	3882	4708	4071	7428	3990
snR11	XIII	652275	652532	+	258	762	1051	1136	1819	1645
YMR086W	XIII	439208	442090	+	2883	2187	2629	1771	6155	3119
YMR044W	XIII	355384	356811	+	1428	1533	1649	1142	4365	1923
YMR222C	XIII	715638	716309	-	672	507	693	602	2981	1386
YMR272W-A	XIII	810466	810579	+	114	0	1	0	0	0
YMR321C	XIII	917579	917896	-	318	127	66	101	140	91
YML131W	XIII	10198	11295	+	1098	2367	2729	1361	7064	2236
YML038C	XIII	202775	204103	-	1329	3468	4113	3460	5397	2992
YML122C	XIII	26038	26418	-	381	3	2	4	16	5
YMR036C	XIII	341856	343520	-	1665	604	629	534	1514	996
YML012W	XIII	246116	246751	+	636	20296	16386	19130	28226	15898
YML100W	XIII	70624	73920	+	3297	14468	10055	4690	76533	20249
YMR312W	XIII	898405	899226	+	822	320	358	396	908	683
YML112W	XIII	45063	45953	+	891	330	482	394	1473	711
YML099C	XIII	74398	77040	-	2643	840	1380	1013	2463	1331
YML123C	XIII	24037	25800	-	1764	176	148	259	307	346
tV(AAC)M3	XIII	586636	586709	-	74	4	0	4	3	4
YMR141C	XIII	549736	550044	-	309	19	24	28	13	14
YMR324C	XIII	922202	922444	-	243	0	0	0	0	0
YMR207C	XIII	677193	683564	-	6372	1149	2040	1325	2831	1163
YMR236W	XIII	742971	743444	+	474	1021	1722	1462	4863	2400
YML034C-A	XIII	209428	209826	-	399	0	2	2	8	3
YMR204C	XIII	670063	671325	-	1263	589	684	601	1907	1198
YMR011W	XIII	288079	289704	+	1626	884	522	718	6398	7604
YML008C	XIII	251839	252990	-	1152	2222	2274	2045	10137	4298
YMR109W	XIII	486587	490246	+	3660	1711	2590	1902	6226	3170
YMR004W	XIII	274017	275552	+	1536	1040	1529	987	3781	1686
YMR158C-A	XIII	573194	573331	-	138	285	367	275	429	264
YMR216C	XIII	698811	701039	-	2229	1650	2458	1837	6526	3414
YMR159C	XIII	574476	574928	-	453	180	256	173	564	270
YMR307C-A	XIII	887731	887925	-	195	4	9	5	1	2
YMR272C	XIII	809623	810777	-	1155	6097	11789	7120	15183	6638
YMR106C	XIII	478301	480190	-	1890	275	394	328	1111	619
YML092C	XIII	85987	86739	-	753	2178	3763	2351	11551	5065
tV(AAC)M2	XIII	420588	420661	-	74	23	26	19	26	26
YML104C	XIII	58939	62322	-	3384	2229	2478	2087	3073	1913
YML058W	XIII	159383	159697	+	315	6647	9931	8054	24067	11166
tW(CCA)M	XIII;XIII	379303;379373	379338;379408	-;-	72	2	7	4	2	6
YMR148W	XIII	560366	560812	+	447	789	1076	799	1644	913
YMR168C	XIII	597332	599158	-	1827	472	909	605	1680	933
YML063W	XIII	146482	147249	+	768	68556	53406	79988	129394	71944
YMR008C	XIII	280590	282584	-	1995	3293	5584	2604	6996	3060
YMR294W-A	XIII	858209	858568	+	360	1	5	7	1	5
YMR177W	XIII	616566	618098	+	1533	854	1032	884	1953	968
YMR213W	XIII	693381	695153	+	1773	341	511	360	1520	725
YMR192W	XIII	647118	649280	+	2163	1281	1463	1326	2879	1565
YMR326C	XIII	923494	923802	-	309	0	0	0	0	0
YMR014W	XIII	298868	300427	+	1560	334	533	464	913	713
YMR020W	XIII	315377	316903	+	1527	1260	2939	1694	4025	1824
snR86	XIII	762110	763113	-	1004	20783	19328	28263	27309	22144
YMR208W	XIII	684467	685798	+	1332	1529	1848	1481	4852	2464
YML098W	XIII	77267	77770	+	504	762	888	963	1736	1082
YMR133W	XIII;XIII	536207;537565	537448;537609	+;+	1287	168	108	70	340	141
YML028W	XIII	220138	220728	+	591	10622	13219	14531	64265	35437
YMR285C	XIII	840144	841691	-	1548	728	1110	848	2526	1427
YMR040W	XIII	350381	350863	+	483	1623	1183	1112	1649	1036
YMR094W	XIII	455825	457261	+	1437	138	217	184	299	209
YMR189W	XIII	637500	640604	+	3105	2214	2291	1454	10491	3895
YML128C	XIII	15135	16676	-	1542	6118	8292	2854	23123	10148
YML022W	XIII	228937	229500	+	564	3075	2374	3884	3974	3256
YMR299C	XIII	864412	865350	-	939	3184	5555	4492	5826	5002
YMR227C	XIII	722613	724385	-	1773	419	702	543	1355	665
YMR119W	XIII	505333	507207	+	1875	2584	3726	2246	4401	2788
YMR255W	XIII	778001	778567	+	567	1609	1927	1549	4926	2143
YMR024W	XIII	321875	323047	+	1173	699	1057	906	2510	1555
YML054C	XIII	165533	167308	-	1776	552	660	399	1305	614
YMR317W	XIII	907364	910786	+	3423	73	109	60	191	87
YMR084W	XIII	436628	437416	+	789	93	116	43	340	159
YMR274C	XIII	814364	815311	-	948	667	859	618	1518	976
YMR215W	XIII	696796	698370	+	1575	7495	6654	6421	15303	7556
YMR277W	XIII	820256	822454	+	2199	1345	1653	1719	3915	2418
YMR033W	XIII;XIII	337788;337904	337817;339277	+;+	1404	1654	2372	1707	4962	2774
YML094C-A	XIII	82219	82620	-	402	4	0	0	7	4
YML041C	XIII	194913	195755	-	843	1406	1353	1487	3822	1906
YMR305C	XIII	879063	880232	-	1170	7232	9594	8772	12230	6300
YMR315W-A	XIII	904286	904393	+	108	4	3	3	6	6
YMR237W	XIII	743749	745923	+	2175	1867	2504	1814	6401	2791
YML095C	XIII	81481	82113	-	633	183	225	258	641	340
YMR018W	XIII	310208	311752	+	1545	416	312	326	559	308
YMR163C	XIII	584271	586388	-	2118	699	696	654	1888	974
YML027W	XIII	221406	222563	+	1158	537	1921	1545	1574	653
ZOD1	XIII	91970	92027	+	58	0	0	0	0	0
tD(GUC)M	XIII	463554	463625	+	72	23	18	16	10	12
YMR162C	XIII	578951	583921	-	4971	2259	2845	1669	3869	2009
YMR158W	XIII	572248	572715	+	468	3990	1518	2733	7372	2526
YMR210W	XIII	687516	688865	+	1350	1194	1251	894	3749	2072
YMR316C-A	XIII	905662	905973	-	312	12	13	8	51	15
YMR241W	XIII	751961	752905	+	945	7426	6483	7928	14140	7641
YMR205C	XIII	671887	674766	-	2880	9296	19281	15223	37057	16679
YMR235C	XIII	741512	742735	-	1224	3875	4063	3631	10117	5824
YMR047C	XIII	363364	366705	-	3342	2274	3118	2484	7042	3764
YMR259C	XIII	784621	788883	-	4263	695	805	772	1399	997
YMR175W-A	XIII	611314	611508	+	195	19	25	22	42	20
YMR281W	XIII	832339	833253	+	915	1416	2012	1429	4062	2200
YMR261C	XIII	790205	793369	-	3165	3576	4249	2493	15111	6377
YMR026C	XIII	324236	325435	-	1200	718	928	783	1845	1078
YML010W	XIII	247677	250868	+	3192	1470	1996	1449	4494	2256
YMR150C	XIII	561956	562528	-	573	5066	3679	4836	6105	3638
YMR067C	XIII	404323	405573	-	1251	652	1185	596	2917	1268
YMR179W	XIII	619858	622134	+	2277	454	555	436	1057	539
YMR126C	XIII	520761	521789	-	1029	1176	1343	1206	2156	1190
YML032C	XIII	212515	213930	-	1416	698	1244	842	2992	1326
YML018C	XIII	234771	235952	-	1182	1329	1495	1094	2865	1224
YML081W	XIII	104777	108532	+	3756	2320	2246	2058	4367	2085
YMR003W	XIII	273118	273714	+	597	6283	2717	5409	5556	4100
YMR221C	XIII	713931	715445	-	1515	2487	2863	2538	4883	2418
YMR257C	XIII	779629	782031	-	2403	834	1172	723	1948	979
YML068W	XIII	137550	138944	+	1395	524	874	573	1730	898
YMR117C	XIII	501250	501891	-	642	390	519	388	933	608
YMR060C	XIII	391532	392515	-	984	1038	1350	1012	3025	1678
YMR144W	XIII	553362	554390	+	1029	682	646	624	1897	1087
YMR068W	XIII	406304	407584	+	1281	346	431	313	1296	564
YML097C	XIII	78335	79690	-	1356	929	1183	1231	2472	1501
YMR182C	XIII	624532	625167	-	636	26	43	45	175	84
YMR295C	XIII	858297	858890	-	594	3989	4496	4654	12940	6408
YMR181C	XIII	623616	624080	-	465	1587	3041	1544	7517	4012
YML080W	XIII	108806	110077	+	1272	236	308	329	615	355
YMR194C-B	XIII;XIII	652594;652848	652775;652887	-;-	222	1525	2334	1083	4375	3173
YMR140W	XIII	547714	549183	+	1470	878	1286	849	2906	1527
YMR058W	XIII	388822	390732	+	1911	31537	28918	27063	35511	24308
YMR076C	XIII	416196	420029	-	3834	870	718	560	2126	961
YMR239C	XIII	748262	749677	-	1416	397	319	372	836	577
tG(GCC)M	XIII	183898	183968	-	71	37	8	16	5	5
YMR242C	XIII	753225	753742	-	518	16006	20551	22992	54021	32032
YMR306C-A	XIII	886183	886572	-	390	17	15	10	60	26
YMR193C-A	XIII	651072	651458	-	387	8	4	4	5	4
YMR114C	XIII	496343	497449	-	1107	1751	1668	1553	3154	1623
YMR009W	XIII	284102	284641	+	540	788	863	526	3447	1078
YMR088C	XIII	443414	445102	-	1689	2352	2969	2372	4480	2287
YMR253C	XIII	775946	777190	-	1245	1333	1990	1314	2765	1541
